Player,Player ID,TJ Surgery Date,Team,Majors,Pitches,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
Martin Perez,6902,5/19/2014,TEX,Y,3297,0.6,92.1,0.11,84.5,,,0.08,76.6,0.21,84.3,,,,,0
Jose Fernandez,11530,5/16/2014,MIA,Y,3396,0.56,95,0.15,83.3,,,0.2,80.9,0.09,87.1,,,,,0.01
A.J. Griffin,11132,4/30/2014,OAK,Y,4633,0.58,89.2,0.11,81.7,0.02,83.5,0.16,68.3,0.14,80.7,,,,,0
Pedro Figueroa,6616,4/30/2014,TEX,Y,568,0.75,94.9,0.17,87.5,,,,,0.08,87.3,,,,,0.01
Ivan Nova,1994,4/29/2014,NYY,Y,8340,0.59,92.9,0.09,86.6,,,0.28,80.4,0.04,85.7,,,,,0.01
Matt Moore,1890,4/22/2014,TB,Y,5997,0.64,93.5,,,0,90,0.18,81.4,0.18,84.8,,,,,0
Cory Gearrin,7947,4/16/2014,ATL,Y,1081,0.62,89.3,0.3,80.5,,,,,0.08,82,,,,,0.02
Bobby Parnell,9926,4/8/2014,NYM,Y,5369,0.75,95.6,0.13,86.9,,,0.1,83.6,0.02,88.5,,,,,0.01
Erik Davis,8422,4/2/2014,WAS,Y,159,0.62,92.9,,,,,0.11,77.9,0.28,84.6,,,,,
David Hernandez,4259,4/1/2014,ARI,Y,6673,0.66,94,0.05,78.3,,,0.22,81.2,0.07,84.8,,,,,0.01
Bruce Rondon,5766,3/29/2014,DET,Y,442,0.67,99.3,0.22,87.9,,,,,0.11,90.2,,,,,
Patrick Corbin,9323,3/25/2014,ARI,Y,4679,0.68,91.7,0.21,79.6,,,,,0.11,81.4,,,,,0
Jarrod Parker,4913,3/24/2014,OAK,Y,5897,0.64,92,0.14,82.9,,,0.01,75.4,0.22,81.3,,,,,0
Luke Hochevar,6943,3/18/2014,KC,Y,13417,0.56,92.4,0.14,83.9,0.11,89.2,0.14,77.4,0.06,83,0.01,83.8,,,0.01
Matt Harvey,11713,10/22/2013,NYM,Y,3675,0.59,95.5,0.17,89.6,,,0.12,83.2,0.12,86.8,,,,,0
Matt Reynolds,8887,9/24/2013,ARI,Y,2512,0.52,89.3,0.28,79,,,,,0.03,82.8,0.17,82.2,,,0.02
Rafael Betancourt,177,9/17/2013,COL,Y,10209,0.79,91.9,0.09,81.8,,,0.07,79.2,0.06,84.2,,,,,0.02
Jeremy Hefner,1989,8/28/2013,NYM,Y,3648,0.55,90.5,0.2,85.6,,,0.13,75.7,0.13,84.3,,,,,0.01
Jason Marquis,105,7/30/2013,SD,Y,28206,0.64,90.3,0.18,83.4,0.04,86.6,0.04,76.3,0.1,82.4,0.01,76.4,,,0.02
Jordan Norberto,8432,6/20/2013,OAK,Y,1447,0.69,92.8,0.14,85.4,,,0.06,80.1,0.11,84.7,,,,,0.01
Kyuji Fujikawa,14443,6/11/2013,CHC,Y,207,0.64,92.3,,,0.12,89.8,0.02,78,,,0.22,83.6,,,
Scott Elbert,7489,6/7/2013,LAD,Y,1586,0.61,92.1,0.38,87.2,,,,,0.01,85.5,,,,,0.01
Eric O'Flaherty,5746,5/21/2013,ATL,Y,5046,0.62,91.1,0.3,84.3,0,87,0.01,76.7,0.08,83.6,0,84,,,0.02
Jonny Venters,7175,5/16/2013,ATL,Y,3623,0.76,94.5,0.22,85.4,,,,,0.02,87,,,,,0.01
Joel Hanrahan,2186,5/16/2013,BOS,Y,7082,0.69,95.2,0.28,85.2,,,,,0.02,82.8,,,,,0.01
Gavin Floyd,3886,5/8/2013,CHW,Y,18497,0.53,91.4,0.13,85,0.1,85.7,0.19,79,0.06,84,,,,,0.02
Jason Motte,5861,5/6/2013,STL,Y,4220,0.77,96.2,0.04,82.5,0.16,91,0.02,81.1,0.01,84,0.01,84,,,0.01
Chad Billingsley,5842,4/24/2013,LAD,Y,19604,0.58,91.6,0.04,84.8,0.18,88.3,0.18,77.2,0.03,84.9,,,,,0.02
Alex White,10054,4/11/2013,HOU,Y,2702,0.69,91.6,0.17,83.6,,,,,,,0.13,86.7,,,0.02
Fernando Rodriguez,7558,3/27/2013,OAK,Y,2260,0.65,93.3,,,0.01,89.8,0.28,78.8,0.06,85.4,,,,,0.02
Frank Herrmann,7960,3/13/2013,CLE,Y,2046,0.78,94.2,0.18,83.5,,,0.01,78.4,,,0.03,86.6,,,0.01
Juan Oviedo,2886,9/6/2012,MIA,Y,5711,0.58,93.8,0.12,84,,,0,78,0.31,85.9,0,87.3,,,0.04
Josh Tomlin,9388,8/22/2012,CLE,Y,5093,0.43,88.7,0.02,81.9,0.3,85.5,0.14,74.8,0.12,81.2,,,,,0.01
Drew Hutchison,10732,8/8/2012,TOR,Y,987,0.76,91.4,0.15,83.8,,,,,0.09,84.3,,,,,
Neftali Feliz,18,8/1/2012,TEX,Y,3379,0.76,95.9,0.05,84.1,,,0.12,79,0.07,87,,,,,0
Joe Wieland,6109,7/27/2012,SD,Y,467,0.57,89.7,0.11,81,,,0.21,78,0.11,83.7,,,,,0.02
Eric Surkamp,2540,7/24/2012,SF,Y,473,0.51,87.9,,,0.1,81.9,0.25,76.5,0.13,79.9,,,,,0.01
Todd Coffey,2467,7/18/2012,LAD,Y,7100,0.68,93.2,0.28,84,,,0,79,0.04,83.7,0.01,85.9,,,0.03
Luis Perez,6389,7/17/2012,TOR,Y,1770,0.68,92.8,0.19,83,,,,,0.13,83.9,,,,,0
Daniel Hudson,7146,7/9/2012,ARI,Y,5989,0.63,93,0.14,86.4,0.01,88.3,0,74.2,0.22,83.4,,,,,0
Felipe Paulino,3777,7/3/2012,KC,Y,6755,0.57,95.3,0.28,87,,,0.08,77.5,0.07,86.3,,,,,0.01
Brandon Beachy,8851,6/21/2012,ATL,Y,4027,0.62,91.6,0.18,82.2,,,0.1,73.4,0.11,80.2,,,,,0.01
Charlie Morton,4676,6/21/2012,PIT,Y,7918,0.64,91.4,0.06,83.9,0.02,88.4,0.17,77.8,0.11,81.9,,,,,0.01
Andrew Carignan,2431,6/19/2012,OAK,Y,307,0.85,94.2,0.14,79.5,,,,,,,0.01,84,,,0
David Herndon,9264,6/19/2012,PHI,Y,1872,0.7,92,0.24,82.7,,,,,0.06,83.7,,,,,0.02
Kyle Drabek,4359,6/19/2012,TOR,Y,3038,0.63,93.1,0.01,89.3,0.16,90.7,0.11,81.5,0.1,85.7,,,,,0
Danny Duffy,3542,6/13/2012,KC,Y,2482,0.65,93.7,0.03,82.4,,,0.2,75.8,0.13,84,,,,,0
Marcos Mateo,6869,6/1/2012,CHC,Y,771,0.57,93.7,0.43,86,,,,,0,85.5,,,,,0.01
Jose Contreras,1660,6/1/2012,PHI,Y,18861,0.56,91.8,0.18,85.1,0,87.2,0.01,77.5,0.04,80.9,0.21,78.1,,,0.03
Blake Wood,1345,5/25/2012,KC,Y,2008,0.68,95.5,0.26,87.9,,,,,0.06,86.2,,,,,0.03
Cory Luebke,1984,5/23/2012,SD,Y,3175,0.67,91.3,0.21,83.7,,,0.03,76.7,0.09,84.7,,,,,0.01
George Sherrill,6291,5/4/2012,SEA,Y,5650,0.66,89.3,0.27,75.8,0,86,0.03,74.5,0.04,80.8,,,,,0.04
Mike Pelfrey,5203,5/1/2012,NYM,Y,15073,0.73,92.4,0.12,84.2,0.01,87.9,0.04,75.6,0.03,83.5,0.07,84.5,,,0.01
Joe Beimel,979,5/1/2012,PIT,Y,7509,0.7,87.3,0.06,77.7,0,85.7,0.14,76,0.1,79,,,,,0.04
Jeremy Bonderman,1667,4/24/2012,DET,Y,18447,0.61,92.1,0.3,83.4,0,86.5,0.01,80.6,0.08,84.7,0,84.3,,,0.05
Brian Wilson,6485,4/19/2012,SF,Y,5820,0.65,95.6,0.09,86.3,0.25,89.1,0,80.4,0.01,86,,,,,0.02
Scott Baker,6176,4/17/2012,MIN,Y,15120,0.63,91,0.15,83.1,0,87.1,0.14,79.7,0.08,82.6,,,,,0.02
Michael Kohn,8505,4/12/2012,LAA,Y,647,0.68,92.6,0.3,81.5,,,,,,,0.02,86.5,,,0.01
Ryan Madson,1852,4/11/2012,CIN,Y,9930,0.58,92.6,0.01,84.3,0.08,89.6,0.09,75.3,0.25,81.9,,,,,0.03
Jose Ceda,2377,4/3/2012,MIA,Y,543,0.59,93.5,0.28,85,0.06,89.8,,,0.02,84.8,0.06,84.6,,,0.01
Joakim Soria,6941,4/2/2012,KC,Y,5168,0.73,91.4,0.08,80.6,,,0.09,69.9,0.1,84.5,,,,,0.02
Joel Zumaya,4699,3/29/2012,DET,Y,3608,0.8,98.5,0.02,82.8,,,0.16,81.7,0.02,85.4,,,,,0.04
Sergio Escalona,7122,3/27/2012,HOU,Y,638,0.6,90,0.02,85.7,,,0.27,78.6,0.11,80.3,,,,,0.01
Arodys Vizcaino,5498,3/20/2012,ATL,Y,322,0.65,95.9,,,,,0.33,81.7,0.02,85.3,,,,,0.01
John Lackey,1507,11/1/2011,BOS,Y,30284,0.61,91.2,0.1,83.9,0.01,88,0.22,79.5,0.05,82.9,,,,,0.04
Carlos Carrasco,6632,9/14/2011,CLE,Y,3046,0.58,92.6,0.09,84,,,0.13,79.6,0.21,85.7,,,,,0.01
Juan Gutierrez,3265,9/6/2011,ARI,Y,2798,0.6,94.3,0.25,83.2,,,0.08,78.9,0.07,83.5,0,85,,,0.02
Tony Pena,4573,8/31/2011,CHW,Y,5946,0.56,94.6,0.3,86.8,0,91,0.01,78.6,0.14,85.7,0,85.7,,,0.02
Rubby De La Rosa,3862,8/9/2011,LAD,Y,1033,0.72,96,0.1,83.2,,,0.03,76.9,0.16,87.8,,,,,0.01
David Aardsma,1902,7/22/2011,SEA,Y,4912,0.78,94.1,0.13,83.4,,,0.01,78.1,0.02,83.8,0.07,86.8,,,0.03
